date,open,high,low,close,volume
2020-05-07,130.852,130.9878,128.8898,129.2927,5570411
2020-05-08,130.4578,130.6856,129.5555,130.2651,4712057
2020-05-11,130.0461,131.4915,129.757,130.6243,5885409
2020-05-12,131.4915,131.7018,128.8021,128.8985,7034686
2020-05-13,127.9699,130.4841,127.9086,128.8897,6967453
2020-05-14,127.3655,129.4416,126.3729,129.3365,6869276
2020-05-15,129.538,131.8244,127.602,131.7894,10336124
2020-05-18,133.5852,134.5751,131.8069,131.8595,7388132
2020-05-19,131.4915,132.3676,130.0023,130.5454,6105696
2020-05-20,131.1849,131.7456,129.0124,129.3716,5710251
2020-05-21,130.0899,130.0899,127.7421,128.5218,6537292
2020-05-22,127.5331,129.046,127.0832,127.3567,6137464
2020-05-26,128.9622,129.1828,127.2949,127.5243,7071250
2020-05-27,127.3126,128.133,126.157,127.8154,7947858
2020-05-28,128.8122,130.656,128.627,129.6503,6189565
2020-05-29,130.5236,131.7498,128.2036,131.2205,8503996
2020-06-01,129.9326,130.8588,128.8034,129.8444,6141675
2020-06-02,129.7297,130.8677,128.9005,130.7795,6073895
2020-06-03,131.0176,131.5646,129.1907,131.1323,6338069
2020-06-04,129.5003,130.8853,128.4241,129.4386,8168982
2020-06-05,130.2854,132.0056,129.3239,129.9414,9724303
2020-06-08,128.6887,130.2149,128.5652,129.4739,7552228
2020-06-09,130.7795,131.7322,128.4858,128.7593,8246292
2020-06-10,129.3239,132.3497,129.3239,130.3825,10097406
2020-06-11,131.0706,131.591,124.1633,124.2691,11906959
2020-06-12,126.007,126.7716,123.7487,125.3983,8685742
2020-06-15,124.3838,125.6162,122.9648,124.6044,8649237
2020-06-16,127.1097,128.2846,125.9452,127.4361,7578979
2020-06-17,127.8242,128.283,126.5628,127.0479,5092430
2020-06-18,125.7247,127.1317,125.1513,126.5098,4667086
2020-06-19,128.6094,128.6887,126.3687,126.8803,12206940
2020-06-22,126.5628,126.7304,125.2924,126.4922,5281358
2020-06-23,126.8009,127.1009,125.8659,126.0246,5920721
2020-06-24,124.8161,125.4336,122.3725,123.3429,8208504
2020-06-25,124.0045,124.0045,121.3316,123.2106,7419386
2020-06-26,123.0871,123.1488,120.8729,121.5698,12848714
2020-06-29,122.3902,123.237,121.7197,122.6548,5307332
2020-06-30,122.9724,124.4015,121.5962,124.0574,7732875
2020-07-01,124.1104,124.7279,123.5546,123.8369,6196949
2020-07-02,124.6044,125.1236,123.7928,124.3574,5150554
2020-07-06,125.416,126.8274,125.1601,126.1305,6153674
2020-07-07,124.7279,127.0038,124.5867,126.0158,5620698
2020-07-08,126.0335,126.4922,125.0013,126.3863,6257395
2020-07-09,125.9364,127.4052,124.0133,125.6982,5737306
2020-07-10,125.9276,126.0335,124.7587,125.5924,4277968
2020-07-13,126.6863,129.3583,126.3951,128.0977,6950220
2020-07-14,128.1947,130.903,128.1418,130.4883,7440397
2020-07-15,132.085,132.5041,130.7618,130.7883,8496297
2020-07-16,131.1588,131.741,129.3945,131.6616,9257372
2020-07-17,132.3232,132.8328,131.1676,131.7498,7440369
2020-07-20,132.5261,132.6055,130.9382,131.9704,6189233
2020-07-21,131.9704,133.796,131.8821,132.0939,5575882
2020-07-22,132.2615,132.6805,130.4266,132.332,5916769
2020-07-23,132.5085,133.0731,131.6881,131.9792,6555650
2020-07-24,132.7643,132.8525,129.7032,130.6648,5358950
2020-07-27,130.0032,131.3705,129.5533,129.8355,5673807
2020-07-28,130.0296,130.5501,129.4562,129.5268,4841223
2020-07-29,129.1386,130.0914,128.8564,129.271,4487398
2020-07-30,130.0649,130.1178,128.9181,129.5356,5914930
2020-07-31,129.3768,130.0737,126.995,128.5829,8259432
2020-08-03,129.1386,130.3737,128.9269,129.9855,4078672
2020-08-04,129.6679,129.8708,128.64,129.8708,4160347
2020-08-05,131.5293,131.7145,130.3825,130.9118,5480439
2020-08-06,130.9118,131.6616,129.2357,130.1619,4836727
2020-08-07,130.1267,131.1323,129.8091,131.0882,3634254
2020-08-10,131.3176,131.4499,130.3119,130.5854,4095795
2020-08-11,131.5646,131.644,129.121,129.6503,6383021
2020-08-12,130.1531,132.5349,130.109,132.0233,5257153
2020-08-13,131.0353,131.6087,130.1443,130.5589,5153714
2020-08-14,130.2149,131.741,130.1884,130.7706,4238812
2020-08-17,130.8412,132.5261,130.7618,131.4322,4305180
2020-08-18,131.6704,132.4114,131.0617,132.4026,4321480
2020-08-19,131.9527,133.717,131.7234,132.6673,7814714
2020-08-20,132.1027,133.717,131.9225,133.5759,4872196
2020-08-21,133.8935,135.5431,132.8438,134.758,6719209
2020-08-24,135.6348,135.7768,133.5124,135.1108,5387306
2020-08-25,135.6703,135.9278,134.5647,135.0309,3862284
2020-08-26,134.8533,135.5548,133.7699,135.244,8006122
2020-08-27,135.3506,136.0965,134.8799,135.8479,5574223
2020-08-28,135.6348,136.4872,134.8888,136.434,5394989
2020-08-31,135.8656,137.1089,135.209,136.2297,6360268
2020-09-01,136.6382,136.8247,133.2638,134.5514,6307635
2020-09-02,133.9031,137.0467,132.5312,136.6027,6875450
2020-09-03,137.4907,138.059,131.692,132.802,8669096
2020-09-04,133.3526,134.0452,130.653,131.9495,7199376
2020-09-08,133.4236,133.9919,130.4488,130.7685,8753323
2020-09-09,131.5588,134.1784,131.5321,132.9352,6959113
2020-09-10,132.5356,133.0062,130.1113,130.4577,6189994
2020-09-11,130.582,131.8962,130.209,131.2302,3933369
2020-09-14,131.5321,132.731,131.4345,131.7364,4374423
2020-09-15,132.7132,133.7255,131.8874,132.2159,3658251
2020-09-16,132.6599,133.2549,131.7365,131.7808,4322268
2020-09-17,131.4611,131.985,129.694,130.6885,5460465
2020-09-18,130.1025,132.8908,129.8272,132.4734,12172144
2020-09-21,131.0526,131.3634,126.95,128.8504,7572140
2020-09-22,128.4863,129.0724,127.6249,128.06,5294196
2020-09-23,130.9638,131.026,128.211,128.2643,8766076
2020-09-24,128.3708,128.9836,127.2875,128.4685,5495301
2020-09-25,127.8735,129.8716,127.7759,129.3476,5527162
2020-09-28,130.2978,131.6831,130.0225,130.6353,5841443
2020-09-29,131.0704,131.3545,129.7028,130.5909,6768195
2020-09-30,130.9372,132.9618,130.3955,132.207,8481477
2020-10-01,132.5889,132.8908,130.0581,130.8217,6455431
2020-10-02,129.836,131.7897,129.4986,129.8627,5481997
2020-10-05,130.5376,131.763,130.0225,131.6298,4991937
2020-10-06,131.6742,131.9673,129.5341,129.8804,5116156
2020-10-07,130.0847,131.6298,129.4808,131.319,5600928
2020-10-08,131.8696,133.0684,131.4611,132.2159,4377688
2020-10-09,132.8908,134.5159,132.7088,134.063,5049976
2020-10-12,134.6224,135.9917,134.1074,134.8355,7244979
2020-10-13,132.3136,133.3082,131.2213,131.7453,11050364
2020-10-14,132.1538,132.3402,130.8839,131.5144,7706426
2020-10-15,130.9638,131.3368,129.9426,130.7063,5978567
2020-10-16,131.0704,132.1005,130.5465,131.5144,6096978
2020-10-19,131.8962,132.2248,127.989,128.1577,7248442
2020-10-20,128.4596,129.4276,127.9801,128.362,5325374
2020-10-21,127.9801,129.0635,127.7936,127.8114,5218217
2020-10-22,128.0156,129.3743,127.7315,128.8326,5279336
2020-10-23,129.543,130.9549,128.1843,128.9747,4146329
